icao,name,lon,lat,type,municipality
SJPZ,Fazenda Santo Antônio Heliport,-45.012779,-3.116111,heliport,Matinha
SJQ2,Ferrari Heliport,-43.959192,-20.128596,heliport,Nova Lima
SJQ3,Grupo Shimohira Airport,-44.901667,-8.106550,small_airport,Baixa Grande do Ribeiro
SJQ4,Fazenda Pontinha Airstrip,-54.402598,-19.774707,small_airport,Bandeirantes
SJQ6,KHIM Heliport,-45.505950,-22.699208,heliport,Campos do Jordão
SJQ7,Chapadinha Regional Hospital Heliport,-43.306056,-3.728672,heliport,Chapadinha
SJQ8,Atacadão Dia à Dia 3 Heliport,-48.405328,-15.527371,heliport,Padre Bernardo
SJQ9,Caxias Regional Hospital Heliport,-43.340265,-4.881197,heliport,Caxias
SJQA,Fazenda Clarim Airport,-46.239696,-13.201802,small_airport,São Desidério
SJQC,Jequitimar Heliport,-46.187222,-23.968332,heliport,Guarujá
SJQE,Graciosa Airport,-49.050479,-25.407713,small_airport,Piraquara
SJQF,Fazenda Londrina Airport,-57.755001,-13.355556,small_airport,Campo Novo Do Parecis
SJQG,HSBC Heliport,-49.279999,-25.502501,heliport,Curitiba
SJQI,Porto Jofre Airport,-56.773707,-17.358759,small_airport,Poconé
SJQK,Barra do Vento Airport,-60.814201,2.695560,small_airport,Boa Vista
SJQL,Águas Claras Aviação Agrícola Airport,-47.555554,-19.322112,small_airport,Santa Juliana
SJQM,Fazenda Valor Heliport,-45.202893,-3.650974,heliport,Igarapé do Meio
SJQN,Quirinópolis Airport,-50.409199,-18.446100,small_airport,Quirinópolis
SJQP,Estância Rebog Airport,-50.628347,-12.801619,small_airport,Cocalinho
SJQQ,Fazenda Terra Alta Airport,-50.992779,-2.865000,small_airport,Portel
SJQR,Jacarezinho Airport,-50.900817,-21.142330,small_airport,Valparaíso
SJQT,Fazenda Haras RPC Airport,-43.927470,-20.169079,small_airport,Nova Lima
SJQW,Warna Roos Heliport,-53.216667,-28.181110,heliport,Santa Bárbara Do Sul
SJQX,Fazenda Uruará Airport,-53.393923,-3.523351,small_airport,Uruará
SJQY,Terminal do Solimões Heliport,-63.163612,-3.944167,heliport,Coari
SJR1,Storm Ranch Heliport,-46.347642,-23.437100,heliport,Itaquaquecetuba
SJR3,Fazenda Caaguassu Airport,-54.124722,-12.280000,small_airport,Nova Ubiratã
SJR4,Fazenda Simeão Brandão Airport,-44.572500,-6.562500,small_airport,Mirador
SJR6,Fazenda Mercúrio Airstrip,-54.400290,-12.183177,small_airport,Feliz Natal
SJR7,Fazenda Santa Bárbara Airport,-55.588056,-14.179167,small_airport,Nobres
SJR8,Fazenda Alvorada Airstrip,-54.330000,-14.976667,small_airport,Primavera do Leste
SJR9,Fazenda Itaúba Airport,-51.688611,-11.312222,small_airport,Canabrava do Norte
SJRB,Fazenda VR Airport,-52.505001,-10.113056,small_airport,Santa Cruz Do Xingu
SJRC,Serra da Borda Airport,-59.688057,-14.827222,small_airport,Vila Bela Da Santíssima Trindade
SJRD,Ilha Josefa Heliport,-44.392223,-23.040556,heliport,Angra Dos Reis
SJRE,Vila Adail Heliport,-47.390181,-23.050326,heliport,Elias Fausto
SJRF,Lavalpa Heliport,-45.976391,-23.293612,heliport,Jacareí
SJRG,Rio Grande Regional Airport,-52.167184,-32.083065,small_airport,Rio Grande
SJRH,Fazenda Galheiro Airport,-54.599724,-15.308056,small_airport,Campo Verde
SJRI,Condomínio Boa Esperança Airport,-45.441387,-8.406389,small_airport,Baixa Grande Do Ribeiro
SJRK,Agropecuária São Roberto Airport,-50.930279,-9.232222,small_airport,Santana Do Araguaia
SJRM,Monte das Oliveiras Heliport,-46.520279,-23.665001,heliport,Santo André
SJRN,Carlos Gomes Center Heliport,-51.176666,-30.031389,heliport,Porto Alegre
SJRO,Fazenda Santa Elisa Airport,-50.634998,-20.530556,small_airport,Auriflama
SJRP,Fazenda Santângelo Agropecuária Airport,-56.371143,-20.132470,small_airport,Miranda
SJRQ,Hospital São Camilo Pompéia Heliport,-46.688332,-23.533890,heliport,São Paulo
SJRR,Fazenda Barreiro Airport,-50.928333,-17.054167,small_airport,Paraúna
SJRS,Fazenda Guanabara Airport,-51.403332,-21.343611,small_airport,Junqueirópolis
SJRV,PCH Garganta da Jararaca Airport,-57.615555,-13.386111,small_airport,Nova Maringá
SJRW,PCH Buriti Airport,-52.690202,-19.341592,small_airport,Paraíso das Águas
SJRX,Grupamento Aéreo da Polícia Militar Heliport,-46.493669,-24.034368,heliport,Praia Grande
SJRY,Mega Mix Heliport,-46.618638,-23.535898,heliport,São Paulo
SJRZ,João Domingues de Araújo Helipad,-46.694019,-23.604645,heliport,São Paulo
SJS2,Dr. Ruth Noleto Macro-regional Hospital Heliport,-47.434755,-5.480127,heliport,Imperatriz
SJS4,Fazenda Fartura Airport,-50.391944,-9.686389,small_airport,Santana do Araguaia
SJS6,Fazenda Remanso do Miranda Airport,-56.295716,-20.626703,small_airport,Bonito
SJS7,Fazenda Santa Adélia - Grupo Nativa Airport,-52.295369,-10.730382,small_airport,São José do Xingu
SJS9,Fazenda Cajueiro Airstrip,-60.993889,2.937222,small_airport,Boa Vista
SJSA,Fazenda Aimorés Airport,-54.597778,-22.789722,small_airport,Juti
SJSD,Fazenda São Bento Airport,-55.123229,-21.071248,small_airport,Sidrolândia
SJSE,Serabi Airport,-55.794998,-6.319722,small_airport,Itaituba
SJSG,Usina Serra Grande Heliport,-36.070278,-8.978056,heliport,São José Da Lage
SJSH,Fly Ville Airport,-48.614509,-27.372117,small_airport,Governador Celso Ramos
SJSL,Fazenda Santa Luiza Airport,-53.499599,-23.350885,small_airport,Icaraíma
SJSN,Fazenda Carvalho Airport,-49.361389,-14.836667,small_airport,São Luiz Do Norte
SJSO,Fazenda Divisão II Airport,-56.321154,-12.968735,small_airport,Lucas do Rio Verde
SJSR,Fazenda Santa Rosa Airport,-49.763058,-13.992222,small_airport,Mara Rosa
SJSS,Agrifor Airport,-55.695278,-12.508333,small_airport,Sorriso
SJST,Umbará Energy Heliport,-49.293610,-25.604168,heliport,Curitiba
SJSU,Fazenda São Marcus Airport,-53.795096,-23.561605,small_airport,Alto Paraíso
SJSV,Fazenda Guiné Airport,-46.191348,-20.248257,small_airport,São Roque de Minas
SJT2,Fazenda Santa Luzia Airport,-55.529165,-9.848599,small_airport,Novo Mundo
